sample_idx,param,ref_unscaled,pred_unscaled,abs_error_unscaled,sq_error_unscaled,ansys_unscaled
45,cross_to_claw,4.10747,4.21325,0.105783,0.0111899,3.9801
45,cross_to_cross,101.585,101.932,0.347445,0.120718,105.49247
45,claw_to_claw,94.0172,94.1077,0.0904413,0.00817962,90.89959
45,ground_to_ground,242.671,241.295,1.37584,1.89294,237.45498
46,cross_to_ground,190.859,189.585,1.2742,1.62359,186.90171
46,claw_to_ground,132.609,131.873,0.735226,0.540558,130.20361
46,cross_to_claw,10.2583,10.1633,0.0950433,0.00903323,9.73203
46,cross_to_cross,190.859,189.565,1.29449,1.67572,199.18172
46,claw_to_claw,143.423,142.43,0.992185,0.984431,140.51789
46,ground_to_ground,391.384,387.993,3.39065,11.4965,384.46716
47,cross_to_ground,175.274,175.306,0.0314741,0.000990617,170.15629
47,claw_to_ground,91.046,90.8488,0.197162,0.0388727,88.107
47,cross_to_claw,3.68023,3.8502,0.169968,0.0288891,3.66105
47,cross_to_cross,175.274,175.291,0.0169019,0.000285675,176.19964
47,claw_to_claw,95.1264,95.0832,0.0431967,0.00186596,92.12657
47,ground_to_ground,330.986,328.858,2.12785,4.52776,322.13906
48,cross_to_ground,115.148,116.003,0.855678,0.732185,112.98728
48,claw_to_ground,107.021,107.782,0.761223,0.579461,104.7026
48,cross_to_claw,7.78498,8.0636,0.278617,0.0776273,7.63274
48,cross_to_cross,115.148,116.003,0.854892,0.730841,122.8068
48,claw_to_claw,115.386,116.279,0.893209,0.797822,112.98185
48,ground_to_ground,276.513,276.683,0.170087,0.0289294,271.83984
49,cross_to_ground,150.282,150.497,0.21467,0.0460832,148.22963
49,claw_to_ground,95.6985,96.2151,0.516616,0.266892,94.46116
49,cross_to_claw,6.33415,6.23542,0.0987326,0.00974813,6.0024
49,cross_to_cross,150.282,150.48,0.198114,0.0392492,156.57316
49,claw_to_claw,102.511,102.867,0.356389,0.127013,100.90082
49,ground_to_ground,306.818,305.587,1.23162,1.51689,303.49848
